Discogs ID,Title,Artists,Genres,Styles,Year,Tracklist,Notes
310565,Fabric 32,Luke Slater,Electronic,"Techno, Minimal, House, Disco, Electro, Breaks",2007,"Rhythm Division (3:08)
For The Asking (2:59)
Transposition Reverse (2:32)
Hazui (Gui Boratto Remix) (4:37)
Ruhestörung Plattenbau (3:48)
Brain Freeze (3:54)
Doin' It (2:08)
A Bit Patchy (3:58)
Organ Bender (Alone At The Altar Of Twisted Souls Mix) (3:54)
She'z Satan (Instrumental) (2:39)
Sister Self Doubt (2:45)
Bump (Switch Remix) (1:33)
She Showed Me Heaven (3:52)
Here (Len's Podium Remix) (5:04)
Mouth To Mouth (4:31)
Love Is In The Air (Mock & Toof Remix) (3:55)
Strap (2:19)
Doctor Gato (Plus 4 Reasons) (2:29)
The Message (2:23)
Full Clip (2:14)
Phylyps Trak II/II (5:10)
GT (3:55)",
79844,Fabric 33,Ralph Lawson,Electronic,"House, Tech House, Acid House",2007,"Don't Be Lonely (An2 Remix) (4:44)
High (Llorca Remix) (4:02)
Polyfunny (2:19)
Transitions (4:50)
Anymore (Phonique Remix) (5:56)
Pause (6:08)
Shogun (Serge Santiago Remix) (4:51)
Radio (2020 Soundsystem Remix) (5:38)
Jigsaw (John Tejada Remix) (4:04)
The ""Right"" Wing (4:19)
Praise (5:43)
Everything's Electric ()
Drum Trax (Beats) (4:21)
15 Minutes (The Rapture HushHush Remix) (4:25)
Hot Gloves (Bakazou Mix) (4:53)
Advance (5:06)
Digitize (Emperor Machine Remix) (4:25)",
31921,Fabric 34,Ellen Allien,Electronic,"Techno, Acid House, Minimal",2007,"S1 (Don’t Believe The Chord-Pop Hype) (5:13)
The Sun Can’t Compare (Long Version) (5:27)
Driven (Original) (6:07)
Tú Y Yo (Peros Nos Volvemos A Levantar) (Pilas Remix) (2:23)
Orderly Kaos (5:01)
Sound Stealer (5:16)
It Is Not Now Either (4:15)
India In Me (Mix 2) (6:32)
Mutter (6:32)
Aaltovaihe (1:36)
Harrowdown Hill (Extended Mx) (7:01)
Just A Woman (3:10)
Journey (4:32)
Baby Kate (Plastikman Remix) (3:24)
Arcadia (4:00)",
113975,Fabric 35,Ewan Pearson,Electronic,"House, Tech House, Minimal",2007,"Ali McBills (Robert Johnson 6am X-Ray Italo Rework) (7:22)
Nimrod (Marc Houle Is A Nimrod Remix) (3:08)
Push In The Bush (2:46)
Honeymoon's Over (Konrad Black Mix) (6:14)
Tranquillité (4:27)
Bellhead (2:45)
Treat 'Em Mean, Keep 'Em Keen (Exercise  One, Remix #2) (5:06)
Trustlove (4:25)
Paspd (4:35)
Looking For God (5:34)
Plastik (4:17)
Can You Relate (3:58)
All For One (Tobi Neumann's Swinging Remix) (4:52)
Panopeeps (Origin) (5:15)
""Tides"" - C's Movement #1 (Carl Craig Remix) (8:49)
Berghain ()",
60496,Fabric 36,Ricardo Villalobos,Electronic,"House, Minimal",2007,"Groove 1880 (1:30)
Perc And Drums (3:22)
Moongomery (6:07)
Farenzer House (6:00)
M.Bassy (2:26)
Mecker (2:33)
4 Wheel Drive (Ricardo Villalobos' 4WD Remix) (5:30)
Fizpatrick (6:30)
Andruic & Japan (12:30)
Organic Tranceplant (1:00)
Prevorent (2:00)
Fumiyandric 2 (2:30)
Won't You Tell Me (6:15)
Primer Encuentro Latino-Americano (9:45)
Chropuspel Zündung (6:15)",
60517,Fabric 37,Steve Bug,Electronic,"House, Techno, Minimal",2007,"Anywhere You Are (4:13)
Consequence (1:32)
Voodoo (It's In The Wall) (2:56)
Trouble (D'Julz Remix) (3:18)
Lux Dementia (4:37)
Hang Around (Wahoo Main Mix) (3:31)
Inspire (Abicah Soul Remix) (1:32)
Belize (1:55)
Love Love Love Yeah (Chloe Remix) (2:54)
Can You See Thru My Eyes (3:00)
Juror No.9 (3:42)
Over The Influence (2:26)
Flow ""Westpoint"" (2:20)
Kubik (2:10)
Saviour (2:41)
My Soul (2:25)
Keep On (4:55)
Worked It Out (Charles Webster's First Remix) (5:34)
Faith N.Y. (2:33)
Monument (2:02)
Lost (4:36)
Red Doggy (5:06)",
93394,Fabric 38,M.A.N.D.Y.,Electronic,"Techno, Tech House, Minimal, Synth-pop",2008,"Intro: (0:31)
Bananas To The Beat (1:28)
Darkslide (2:59)
Mederico (2:21)
Karasu (Crowdpleaser Remix) (3:14)
Tipologia (Lucy Remix) (2:04)
Sicknote (2:00)
Idiosynkratik (3:52)
Magic M (4:52)
City Tales (Dub Mix) (2:40)
To The Top (Guy J Remix) (5:19)
I Feel Speed (Audion Remix) (2:17)
Chorizo (4:11)
Dopamin (2:01)
War Paint (Claude Vonstroke Remix) (3:19)
Spanish Kebab (4:51)
U Can Get Sonar (2:59)
Farm House (Deadset Dub Tool) (1:50)
The Dawn (Nass Remix) (3:12)
The Whisper Had It (Mark August Remix) (5:15)
Kisses (Kabuto & Koji Carnea Remix) (1:42)
Tunnels (Sebo K & Metro Remix) (3:43)
2 Fast 4 U (Julian Ganzer Remix) (2:41)
Bhalobashi (Sideshow Dub Mix) (1:50)
Don't Stop (0:37)",
18461,Fabric 39,Robert Hood,Electronic,"Tribal, Techno, Minimal, Tech House",2008,"Silicone Fingers (1:14)
Element 9 (2:19)
Who Taught You Math (1:37)
X-Factor (2:05)
Strobe Light (1:37)
Taboo (2:33)
Fever (Rephrased) (2:19)
Bust The Vibes (Real Disco Mix) (2:12)
Sand Dune (1:44)
Element 3 (2:05)
Mind Detergent (Robert Hood Remix) (1:24)
Skin Deep (1:09)
School (2:06)
Element 23 (1:51)
Mr. Funk (1:51)
Informant (1:34)
One Side (1:37)
All It Takes (1:37)
Mass (2:19)
Agent Wood (Adam Beyer Remix) (1:51)
Legalize! (2:12)
Element 7 (2:19)
Side Effect (4:24)
Drop The Filter (1:58)
New Energy (1:51)
Agent Wood (Original Mix) (3:15)
Still Here (Los Hermanos Remix) (2:33)
Magic (2:50)
The Greatest Dancer (3:41)
Exclamation (2:32)
And Then We Planned Our Escape (3:41)
Element 12 (1:07)",
50611,Fabric 40,Mark Farina,Electronic,"House, Tech House",2008,"Together (3:44)
Yellow Truth (Atnarko Mix) (3:32)
Why Not Rock? (4:06)
Lead The Way (3:01)
Gettin' Ready (3:16)
Where Ya At? (2:31)
Got This Feeling (LNS Disco Dub) (4:17)
Believe En Me (3:02)
The Blues Line (Tommy Largo Remix) (4:48)
Feel My Love (Bobby Valentine Remix) (4:02)
Stasera (3:17)
Last Word (4:02)
Closer (Oliver Desmet & Fred Everything Mix) (3:17)
Pick Up What I'm Putting Down (4:21)
There Goes The Neighbourhood (2:09)
Broke Acid (4:21)
Make Dat Shit (Derrick Carter Mix) (3:02)
Mumbler (3:02)
Brutality (3:17)
Das Shibuya (Cheeba Mix) (3:47)
Hoose Musik (3:13)",No master release;
1386494,Fabric 41,Luciano,Electronic,"House, Techno, Deep House, Tech House, Minimal",2008,"Slagare ()
El Baile (Acapella) ()
Yo Momo ()
Getting Late (Luciano's Getting Late Remix) ()
Be Tougher ()
Floppy ()
Mogane (Guillaume & The Coutu Dumonts Remix) ()
Orbitalife ()
Jungle Beatz ()
In Church ()
Good Love (Luciano's Good Love Remix) ()
Rise From Your Grave (Tiefschwarz Remix) ()
Albertino ()
Just So You Know ()
You Are... (Original Mix) ()
Arabesque ()",
